date,open,close,volume
"Feb 06, 2019",174.65,174.24,"27,959,581"
"Feb 05, 2019",172.86,174.18,"36,066,500"
"Feb 04, 2019",167.41,171.25,"31,495,500"
"Feb 01, 2019",166.96,166.52,"32,668,100"
"Jan 31, 2019",166.11,166.44,"40,739,600"
"Jan 30, 2019",163.25,165.25,"61,109,800"
"Jan 29, 2019",156.25,154.68,"41,587,200"
"Jan 28, 2019",155.79,156.30,"26,192,100"
"Jan 25, 2019",155.48,157.76,"33,535,500"
"Jan 24, 2019",154.11,152.70,"25,441,500"
"Jan 23, 2019",154.15,153.92,"23,130,600"
"Jan 22, 2019",156.41,153.30,"30,394,000"
"Jan 18, 2019",157.50,156.82,"33,751,000"
"Jan 17, 2019",154.20,155.86,"29,821,200"
"Jan 16, 2019",153.08,154.94,"30,569,700"
"Jan 15, 2019",150.27,153.07,"28,710,900"
"Jan 14, 2019",150.85,150.00,"32,439,200"
"Jan 11, 2019",152.88,152.29,"27,023,200"
"Jan 10, 2019",152.50,153.80,"35,780,700"
"Jan 09, 2019",151.29,153.31,"45,099,100"
"Jan 08, 2019",149.56,150.75,"41,025,300"
"Jan 07, 2019",148.70,147.93,"54,777,800"
"Jan 04, 2019",144.53,148.26,"58,607,100"
"Jan 03, 2019",143.98,142.19,"91,312,200"
"Jan 02, 2019",154.89,157.92,"37,039,700"
"Dec 31, 2018",158.53,157.74,"35,003,500"
"Dec 28, 2018",157.50,156.23,"42,291,400"
"Dec 27, 2018",155.84,156.15,"53,117,100"
"Dec 26, 2018",148.30,157.17,"58,582,500"
"Dec 24, 2018",148.15,146.83,"37,169,200"
"Dec 21, 2018",156.86,150.73,"95,744,600"
"Dec 20, 2018",160.40,156.83,"64,773,000"
"Dec 19, 2018",166.00,160.89,"49,047,300"
"Dec 18, 2018",165.38,166.07,"33,841,500"
"Dec 17, 2018",165.45,163.94,"44,287,900"
"Dec 14, 2018",169.00,165.48,"40,703,700"
"Dec 13, 2018",170.49,170.95,"31,898,600"
"Dec 12, 2018",170.40,169.10,"35,627,700"
"Dec 11, 2018",171.66,168.63,"47,281,700"
"Dec 10, 2018",165.00,169.60,"62,026,000"
"Dec 07, 2018",173.49,168.49,"42,281,600"
"Dec 06, 2018",171.76,174.72,"43,098,400"
"Dec 04, 2018",180.95,176.69,"41,344,300"
"Dec 03, 2018",184.46,184.82,"40,802,500"
"Nov 30, 2018",180.29,178.58,"39,531,500"
"Nov 29, 2018",182.66,179.55,"41,770,000"
"Nov 28, 2018",176.73,180.94,"46,062,500"
"Nov 27, 2018",171.51,174.24,"41,387,400"
"Nov 26, 2018",174.24,174.62,"44,998,500"
"Nov 23, 2018",174.94,172.29,"23,624,000"
"Nov 21, 2018",179.73,176.78,"31,124,200"
"Nov 20, 2018",178.37,176.98,"67,825,200"
"Nov 19, 2018",190.00,185.86,"41,925,300"
"Nov 16, 2018",190.50,193.53,"36,928,300"
"Nov 15, 2018",188.39,191.41,"46,478,800"
"Nov 14, 2018",193.90,186.80,"60,801,000"
"Nov 13, 2018",191.63,192.23,"46,882,900"
"Nov 12, 2018",199.00,194.17,"51,135,500"
"Nov 09, 2018",205.55,204.47,"34,365,800"
"Nov 08, 2018",209.98,208.49,"25,362,600"
"Nov 08, 2018",205.97,209.95,"33,424,400"
"Nov 07, 2018",201.92,203.77,"31,882,900"
"Nov 06, 2018",204.30,201.59,"66,163,700"
"Nov 05, 2018",209.55,207.48,"91,328,700"
"Nov 02, 2018",219.05,222.22,"58,323,200"
"Nov 01, 2018",216.88,218.86,"38,358,900"
"Oct 31, 2018",211.15,213.30,"36,660,000"
"Oct 30, 2018",219.19,212.24,"45,935,500"
"Oct 29, 2018",215.90,216.30,"47,258,400"
"Oct 26, 2018",217.71,219.80,"29,855,800"
"Oct 25, 2018",222.60,215.09,"40,925,500"
"Oct 24, 2018",215.83,222.73,"38,767,800"
"Oct 23, 2018",219.79,220.65,"28,792,100"
"Oct 22, 2018",218.06,219.31,"33,078,700"
"Oct 19, 2018",217.86,216.02,"32,581,300"
"Oct 18, 2018",222.30,221.19,"22,885,400"
"Oct 17, 2018",218.93,222.15,"29,184,000"
"Oct 16, 2018",221.16,217.36,"30,791,000"
"Oct 15, 2018",220.42,222.11,"40,337,900"
"Oct 12, 2018",214.52,214.45,"53,124,400"
"Oct 11, 2018",225.46,216.36,"41,990,600"
"Oct 10, 2018",223.64,226.87,"26,891,000"
"Oct 09, 2018",222.21,223.77,"29,663,900"
"Oct 08, 2018",227.96,224.29,"33,580,500"
"Oct 05, 2018",230.78,227.99,"32,042,000"
"Oct 04, 2018",230.05,232.07,"28,654,800"
"Oct 03, 2018",227.25,229.28,"24,788,200"
"Oct 02, 2018",227.95,227.26,"23,600,800"
"Oct 01, 2018",224.79,225.74,"22,929,400"
"Sep 28, 2018",223.82,224.95,"30,181,200"
"Sep 27, 2018",221.00,220.42,"23,984,700"
"Sep 26, 2018",219.75,222.19,"24,554,400"
"Sep 25, 2018",216.82,220.79,"27,693,400"
"Sep 24, 2018",220.78,217.66,"96,246,700"
"Sep 21, 2018",220.24,220.03,"26,608,800"
"Sep 20, 2018",218.50,218.37,"27,123,800"
"Sep 19, 2018",217.79,218.24,"31,571,700"
"Sep 18, 2018",222.15,217.88,"37,195,100"
"Sep 17, 2018",225.75,223.84,"31,999,300"
